name,full_name,birthplace,age,reign,cod,era
VITELLIUS,avlvs vitellivs germanicvs avgvstvs,"Rome, Italia",54,0,Assassination,Principate
VETRANIO,caesar flavivs vetranio avgvstvs,"Unknown, Moesia",Unknown,0,Other,Dominate
VESPASIAN,titvs flavivs caesar vespasianvs avgvstvs,"Falacrine, Italia",70,10,Natural Causes,Principate
VALERIAN,caesar pvblivs licinivs valerianvs avgvstvs,Unknown,69,7,Other,Principate
VALENTINIAN II,flavivs valentinianvs invictvs avgvstvs,"Milan, Italia",21,17,Suicide,Dominate
VALENTINIAN I,flavivs valentinianvs avgvstvs,"Cibalae, Pannonia",54,11,Natural Causes,Dominate
VALENS,flavivs ivlivs valens avgvstvs,"Cibalae, Pannonia",50,14,Died in Battle,Dominate
TREBONIANUS GALLUS,caesar gaivs vibivs trebonianvs gallvs avgvstvs,"Unknown, Italia",47,2,Assassination,Principate
TRAJAN DECIUS,caesar gaivs messivs qvintvs traianvs decivs avgvstvs,"Budalia, Pannonia Inferior",50,2,Died in Battle,Principate
TRAJAN,caesar marcvs vlpivs nerva traianvs avgvstvs,"Italica, Hispania Baetica",64,19,Natural Causes,Principate
TITUS,titvs flavivs caesar vespasianvs avgvstvs,"Rome, Italia",42,2,Natural Causes,Principate
THEODOSIUS I,flavivs theodosivs avgvstvs,"Cauca, Hispania",48,16,Natural Causes,Dominate
TACITUS,caesar marcvs clavdivs tacitvs avgvstvs,"Interamna Nahars, Italia",76,1,Natural Causes,Principate
SEVERUS II,flavivs valerivs severvs avgvstvs,Unknown,Unknown,2,Assassination,Dominate
SEVERUS ALEXANDER,caesar marcvs avrelivs severvs alexander avgvstvs,"Arca Caesarea, Syria",27,13,Assassination,Principate
SEPTIMUS SEVERUS,caesar lvcivs septimivs severvs pertinax avgvstvs,"Leptis Magna, Libya",66,18,Natural Causes,Principate
QUINTILLUS,caesar marcvs avrelivs clavdivs qvintillvs avgvstvs,"Sirmium, Pannonia",58,0,Other,Principate
PUPIENUS,caesar marcvs clodivs pvpienvs maximvs avgvstvs,Unknown,60,0,Assassination,Principate
PROBUS,caesar marcvs avrelivs probvs avgvstvs,"Sirmium, Pannonia",50,6,Assassination,Principate
PHILIP I,caesar marcvs ivlivs philippvs avgvstvs,"Shahba, Syria",45,5,Execution,Principate
PERTINAX,caesar pvblivs helvivs pertinax avgvstvs,"Alba, Italia",67,0,Assassination,Principate
OTHO,marcvs salvivs otho caesar avgvstvs,"Terentinum, Italia",37,0,Suicide,Principate
NUMERIAN,caesar marcvs avrelivs nvmerivs nvmerianvs avgvstvs,Unknown,Unknown,1,Other,Principate
NERVA,marcvs cocceivs nerva caesar avgvstvs,"Narni, Italia",68,2,Natural Causes,Principate
NERO,nero clavdivs caesar avgvstvs germanicvs,"Antitum, Italia",31,14,Suicide,Principate
MAXIMINUS II,caesar galerivs valerivs maximinvs avgvstvs,"Unknown, Dacia Aureliana",43,2,Execution,Dominate
MAXIMINUS I,caesar gaivs ivlivs vervs maximinvs avgvstvs,"Unknown, Thrace",65,3,Assassination,Principate
MAXIMIAN,caesar marcvs avrelivs valerivs maximianvs avgvstvs,"Sirmium, Pannonia",60,19,Suicide,Dominate
MAXENTIUS,marcvs avrelivs valerivs maxentivs avgvstvs,Unknown,34,6,Execution,Dominate
MARCUS AURELIUS,caesar marcvs avrelivs antoninvs avgvstvs,"Rome, Italia",59,19,Natural Causes,Principate
MACRINUS,marcvs opellivs severvs macrinvs avgvstvs pivs felix,"Iol Caesarea, Mauretania",53,1,Execution,Principate
LUCIUS VERUS,caesar lvcivs avrelivs vervs avgvstvs,"Rome, Italia",39,8,Natural Causes,Principate
LUCINIUS I,caesar gaivs valerivs licinivs avgvstvs,"Felix Romuliana, Moesia Superior",75,16,Execution,Dominate
JULIAN,caesar flavivs clavdivs ivlianvs avgvstvs,"Constantinople, Thrace",32,3,Died in Battle,Dominate
JOVIAN,caesar flavivs iovianvs avgvstvs,"Singidunum, Moesia",33,1,Natural Causes,Dominate
HOSTILIAN,caesar caivs valens hostilianvs messivs qvintvs avgvstvs,"Sirmium, Pannonia",21,0,Natural Causes,Principate
HADRIAN,caesar pvblivs aelivs traianvs hadrianvs avgvstvs,"Italica, Hispania Baetica",62,21,Natural Causes,Principate
GRATIAN,flavivs gratianvs avgvstvs,"Sirmium, Pannonia",24,16,Assassination,Dominate
GORDIAN III,caesar marcvs antonivs gordianvs avgvstvs,"Rome, Italia",19,6,Died in Battle,Principate
GORDIAN II,caesar marcvs antonivs gordianvs sempronianvs romanvs africanvs avgvstvs,Unknown,46,0,Execution,Principate
GORDIAN I,caesar marcvs antonivs gordianvs sempronianvs africanvs avgvstvs,"Unknown, Phrygia",79,0,Suicide,Principate
GETA,caesar pvblivs septimivs geta avgvstus,"Rome, Italia",22,2,Assassination,Principate
GALLIENUS,caesar pvblivs licinivs egnativs gallienvs avgvstvs,Unknown,50,15,Assassination,Principate
GALERIUS,caesar galerivs valerivs maximianvs avgvstvs,"Romuliana, Moesia Superior",51,6,Natural Causes,Dominate
GALBA,servivs svlpicivs galba caesar avgvstvs,"Terracina, Italia",67,1,Assassination,Principate
FLORIAN,caesar marcvs annivs florianvs avgvstvs,Unknown,Unknown,0,Assassination,Principate
